                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0278,                 2.0217,                 1.4057,                 1.0315,                 0.7507,                0.59654,                0.68323,                0.48094,                0.75322,                0.58061,                0.66568,                0.42683,                0.91702,                 1.7893,                 1.0618,                0.99944,              0.0033279,              0.0033279,              0.0033279
                      2,                 1.0662,                 2.0368,                 1.1019,                 1.0491,                0.68721,                0.54186,                0.61041,                0.41072,                0.69169,                0.52821,                0.59619,                0.35869,                 1.0487,                 2.0495,                 1.2063,                 1.0825,              0.0065952,              0.0065952,              0.0065952
                      3,                 1.1521,                 2.1725,                 1.1306,                  1.094,                0.67973,                 0.5039,                0.56831,                0.37209,                0.67878,                0.48602,                0.54718,                0.32174,                  1.172,                   2.32,                 1.3089,                 1.1803,              0.0097966,              0.0097966,              0.0097966
                      4,                 1.1961,                 2.2338,                 1.1536,                 1.1215,                0.69795,                0.53833,                0.61121,                0.39893,                0.69728,                0.51438,                0.58471,                0.34649,                 1.1339,                 2.1873,                 1.1312,                 1.1269,               0.009703,               0.009703,               0.009703
                      5,                 1.1527,                 2.1689,                 1.0952,                 1.1026,                0.72368,                0.55957,                0.64302,                0.43751,                0.72768,                0.53616,                0.61766,                0.37553,                 1.0634,                 2.0232,                 1.0204,                 1.1016,               0.009703,               0.009703,               0.009703
                      6,                 1.1309,                  2.129,                   1.06,                 1.0934,                0.72212,                0.54189,                0.62743,                0.42324,                0.72141,                0.52005,                0.60215,                0.36445,                 1.0752,                 2.1037,                  1.026,                  1.107,               0.009604,               0.009604,               0.009604
                      7,                 1.1154,                 2.0971,                 1.0413,                 1.0855,                0.73746,                 0.5675,                 0.6553,                0.45251,                0.73291,                0.54191,                0.62899,                0.39044,                 1.0009,                 1.9541,                0.98734,                 1.0675,               0.009505,               0.009505,               0.009505
                      8,                 1.0974,                 2.0772,                 1.0241,                 1.0788,                0.75242,                0.58491,                0.67673,                0.47279,                0.74756,                0.56859,                0.65624,                0.41322,                0.97906,                 1.8962,                0.93777,                 1.0494,               0.009406,               0.009406,               0.009406
                      9,                 1.0893,                 2.0554,                 1.0096,                 1.0725,                0.75142,                0.58898,                0.68259,                0.48418,                0.75046,                0.56733,                0.65785,                0.42024,                 0.9495,                 1.8381,                0.90248,                 1.0383,               0.009307,               0.009307,               0.009307
                     10,                 1.0732,                 2.0366,                0.99566,                 1.0686,                0.75763,                0.59763,                0.68966,                0.49417,                 0.7514,                0.57672,                0.66815,                0.42709,                0.92707,                 1.8173,                0.88509,                 1.0279,               0.009208,               0.009208,               0.009208
